constraintsStrength,erreygersE,healthyDietReward,inertiaCoefficient,maxProbaToSwitch,numOfScenario,numberOfHealthy,seed,socialInequality,openmole$experiment
0.12894399,0.04634410686751614,0.153103026,0.819531377,0.890470449,3,1207751,-890779510006111168,1.531235675342014,18012
0.12894399,0.0465454558918744,0.153103026,0.819531377,0.890470449,3,1211711,-3260022335509018051,1.5276483192011734,18008
0.12894399,0.04568152716243154,0.153103026,0.819531377,0.890470449,3,1208694,-1937674779901080805,1.5199458682318583,18013
0.12894399,0.0472079060718609,0.153103026,0.819531377,0.890470449,3,1216966,-1477468541352865781,1.5305371293624968,18006
0.12894399,0.04623573448493829,0.153103026,0.819531377,0.890470449,3,1212896,4127763991658407019,1.5240130146082822,17958
0.12894399,0.0468689316615902,0.153103026,0.819531377,0.890470449,3,1213543,5454973510870320639,1.534114640844738,17956
0.12894399,0.047149317308603195,0.153103026,0.819531377,0.890470449,3,1215888,-770226468992281225,1.5331857294407023,17954
0.12894399,0.04632018136532146,0.153103026,0.819531377,0.890470449,3,1212908,-49491342145628768,1.528131514231993,17952
0.12894399,0.046379450498099176,0.153103026,0.819531377,0.890470449,3,1213864,8607647772046197781,1.5260714283302632,17950
0.12894399,0.04622331889292041,0.153103026,0.819531377,0.890470449,3,1207665,9217304142535998178,1.531118451973387,17963
0.12894399,0.04626254866961743,0.153103026,0.819531377,0.890470449,3,1211215,534234133649262449,1.5266735609526751,17967
0.12894399,0.04615391054233237,0.153103026,0.819531377,0.890470449,3,1212319,6096032255760698750,1.5220395786188377,17959
0.12894399,0.046073382267015225,0.153103026,0.819531377,0.890470449,3,1213419,-7892745173003367805,1.5221053525115258,17965
0.12894399,0.04657580671322808,0.153103026,0.819531377,0.890470449,3,1213942,-3239616956555156569,1.5284798097059442,17961
0.12894399,0.046430723611437553,0.153103026,0.819531377,0.890470449,3,1212222,-8799066941729267720,1.5271118651591007,17970
0.12894399,0.045991007646156934,0.153103026,0.819531377,0.890470449,3,1207914,1079475686462074543,1.5217924004010486,17969
0.12894399,0.046541163598973506,0.153103026,0.819531377,0.890470449,3,1211392,691449266196667492,1.5282652132747638,17972
0.12894399,0.04634769490262237,0.153103026,0.819531377,0.890470449,3,1210109,-3950236397481402987,1.5244663011221606,17977
0.12894399,0.04607506245950182,0.153103026,0.819531377,0.890470449,3,1211119,4258333226783776509,1.5211239653034896,17974
0.12894399,0.046814426275727704,0.153103026,0.819531377,0.890470449,3,1212281,3473408574971155504,1.5312767427295353,18019
0.12894399,0.0467588557182848,0.153103026,0.819531377,0.890470449,3,1211841,9189986912168884234,1.5322146212143246,18015
0.12894399,0.04621178813543386,0.153103026,0.819531377,0.890470449,3,1210433,-6928956216950471091,1.5250913696339383,18021
0.12894399,0.04712800191564799,0.153103026,0.819531377,0.890470449,3,1214654,8988680466098014393,1.5337006571585798,18018
0.12894399,0.04631543503293205,0.153103026,0.819531377,0.890470449,3,1210634,6095319615274203392,1.522833668863747,18023
0.12894399,0.04637663169869155,0.153103026,0.819531377,0.890470449,3,1208462,-5533483285850578593,1.5277421606402184,18027
0.12894399,0.04655627120356273,0.153103026,0.819531377,0.890470449,3,1211518,2539011912698660496,1.5285519383756123,18029
0.12894399,0.04625592728673138,0.153103026,0.819531377,0.890470449,3,1209597,-7641371204648002266,1.524946696876634,18030
0.12894399,0.04610408858979032,0.153103026,0.819531377,0.890470449,3,1205341,6473576467095935716,1.5244942614909185,18032
0.12894399,0.045940940050430236,0.153103026,0.819531377,0.890470449,3,1212612,7737799721810643520,1.521103766962914,18025
0.12894399,0.04635785949778604,0.153103026,0.819531377,0.890470449,3,1215540,2464068223213980888,1.5277041031647591,18042
0.12894399,0.046660135559531725,0.153103026,0.819531377,0.890470449,3,1216608,1832669804534767340,1.5276313543756093,18038
0.12894399,0.046061494457676856,0.153103026,0.819531377,0.890470449,3,1212358,-1976906275317547992,1.5220747899603553,18040
0.12894399,0.04674914569584955,0.153103026,0.819531377,0.890470449,3,1217919,4812994222607907221,1.5289152449928602,18036
0.12894399,0.04626071452880239,0.153103026,0.819531377,0.890470449,3,1214764,-6407937436650979857,1.521792340428212,18034
0.12894399,0.04646341801976862,0.153103026,0.819531377,0.890470449,3,1212180,-3455729433898477838,1.5288273315061738,18043
0.12894399,0.04625541452497725,0.153103026,0.819531377,0.890470449,3,1207836,7987871153751654871,1.52865396121908,18045
0.12894399,0.04602047736591864,0.153103026,0.819531377,0.890470449,3,1209283,-341178306495769678,1.5234601194285953,18049
0.12894399,0.046408853008262634,0.153103026,0.819531377,0.890470449,3,1215505,-2836986226691458239,1.5242641016218255,18051
0.12894399,0.0466555863211101,0.153103026,0.819531377,0.890470449,3,1213399,-8415760531118165454,1.5326549915328813,18047
0.12894399,0.04626271611194168,0.153103026,0.819531377,0.890470449,3,1211592,5474536421554866698,1.5240248513286667,18058
0.12894399,0.046868674514960657,0.153103026,0.819531377,0.890470449,3,1212227,5774893043304584385,1.5356438120227582,18056
0.12894399,0.04597413819245589,0.153103026,0.819531377,0.890470449,3,1211499,5467978300978040082,1.5199484042491507,18052
0.12894399,0.047277857210092,0.153103026,0.819531377,0.890470449,3,1215190,6897463735390135838,1.53752534429035,18060
0.12894399,0.04647705529021748,0.153103026,0.819531377,0.890470449,3,1214196,365482317493373877,1.52635399812833,18054
0.12894399,0.035369029155757806,0.153103026,0.819531377,0.890470449,2,1152967,5302623213949991827,1.4050572643961863,30084
0.12894399,0.04684072532642141,0.153103026,0.819531377,0.890470449,3,1210845,2653474165604843634,1.533523871421564,15905
0.12894399,0.03558117995460243,0.153103026,0.819531377,0.890470449,2,1160392,-1206362650612766480,1.4019419647780405,30079
0.12894399,0.03540032497135811,0.153103026,0.819531377,0.890470449,2,1151883,8828342492243481259,1.4051615224975833,30080
0.12894399,0.03497947761349425,0.153103026,0.819531377,0.890470449,2,1151233,-6702766345616578205,1.401257491790666,30082
0.12894399,0.04688345873574664,0.153103026,0.819531377,0.890470449,3,1215032,-5591032079300530981,1.5312793934670514,18063
0.12894399,0.04642733218317696,0.153103026,0.819531377,0.890470449,3,1213838,-684302658622402534,1.5244665190060775,18068
0.12894399,0.047033764523342576,0.153103026,0.819531377,0.890470449,3,1211254,3742733903826654694,1.537365155322986,18067
0.12894399,0.04598817075345526,0.153103026,0.819531377,0.890470449,3,1211757,-1742881752260537117,1.5212008755042576,18065
0.12894399,0.04663376035410902,0.153103026,0.819531377,0.890470449,3,1213685,-7450032069700437772,1.5295524405210874,18061
0.12894399,0.04634119605105187,0.153103026,0.819531377,0.890470449,3,1208627,-8635440943305562268,1.5270564019603077,18076
0.12894399,0.046293891703726484,0.153103026,0.819531377,0.890470449,3,1209842,-8884522133899298866,1.5299858262529822,18070
0.12894399,0.04597095763645646,0.153103026,0.819531377,0.890470449,3,1211111,-4224310597808867147,1.523577341868516,18074
0.12894399,0.046167370059730845,0.153103026,0.819531377,0.890470449,3,1209599,8069995392286955506,1.5217481372071726,18072
0.12894399,0.04667798361901161,0.153103026,0.819531377,0.890470449,3,1211062,8669119656114343896,1.5336816061409744,18078
0.12894399,0.046460988815809394,0.153103026,0.819531377,0.890470449,3,1209795,-3930328326327242283,1.5263425537272197,18083
0.12894399,0.04604383461925224,0.153103026,0.819531377,0.890470449,3,1207612,6032203658461669335,1.5265653210214327,18085
0.12894399,0.04638911756061397,0.153103026,0.819531377,0.890470449,3,1215111,2933539688168640831,1.5231999478454654,18080
0.12894399,0.04641316175605507,0.153103026,0.819531377,0.890470449,3,1213161,795936711127259459,1.5269088203033727,18082
0.12894399,0.046370941539817655,0.153103026,0.819531377,0.890470449,3,1214935,-6022654764137057354,1.523465999066343,18087
0.12894399,0.04602685229879313,0.153103026,0.819531377,0.890470449,3,1209809,2811450279241736118,1.5287151005277297,18096
0.12894399,0.045614252871097966,0.153103026,0.819531377,0.890470449,3,1212402,-633623072065019916,1.5151134281898153,18094
0.12894399,0.0464069542916053,0.153103026,0.819531377,0.890470449,3,1213514,6781910560612011156,1.5281043344178733,18092
0.12894399,0.046360459521013,0.153103026,0.819531377,0.890470449,3,1210458,6911638607850454870,1.526169053983683,18091
0.12894399,0.046840166221096255,0.153103026,0.819531377,0.890470449,3,1210548,3362075114092751288,1.5350644591707452,18089
0.12894399,0.046329464508200566,0.153103026,0.819531377,0.890470449,3,1212780,-2754715512313705715,1.526103851990386,17984
0.12894399,0.04703374624521351,0.153103026,0.819531377,0.890470449,3,1212877,6127742940908518698,1.5327749584411352,17980
0.12894399,0.046032349254021325,0.153103026,0.819531377,0.890470449,3,1212387,3014660440939335358,1.5281665714285193,17982
0.12894399,0.04649091203282492,0.153103026,0.819531377,0.890470449,3,1213574,-2959679668374246944,1.5289497532541123,17986
0.12894399,0.04650522458185001,0.153103026,0.819531377,0.890470449,3,1211470,-584486360775816612,1.5291434993596618,17979
0.12894399,0.04621575902229214,0.153103026,0.819531377,0.890470449,3,1211328,-2072986558411717777,1.52748548030529,18369
0.12894399,0.04619303098488177,0.153103026,0.819531377,0.890470449,3,1213698,2583188815436379249,1.5237271448307392,18375
0.12894399,0.04635009729385828,0.153103026,0.819531377,0.890470449,3,1216007,-1669649612709846587,1.5249594172466656,18371
0.12894399,0.04697207579152719,0.153103026,0.819531377,0.890470449,3,1215023,2601854240487664886,1.5350560635506771,18373
0.12894399,0.04654323289396314,0.153103026,0.819531377,0.890470449,3,1216906,1487792070379245807,1.523073670786843,18367
0.12894399,0.04723275307221053,0.153103026,0.819531377,0.890470449,3,1212512,9172120261466491812,1.5385041801789532,18117
0.12894399,0.046316624022134135,0.153103026,0.819531377,0.890470449,3,1211545,-1271676789560458027,1.5242741858310969,18121
0.12894399,0.046409997033215224,0.153103026,0.819531377,0.890470449,3,1211757,7516837311017804264,1.528719904609569,18119
0.12894399,0.04618721949614589,0.153103026,0.819531377,0.890470449,3,1212539,-5116999624855750989,1.526761451922797,18124
0.12894399,0.04660258640478218,0.153103026,0.819531377,0.890470449,3,1215719,1814817834511039566,1.5233020728019226,18122
0.12894399,0.03490115796174755,0.153103026,0.819531377,0.890470449,2,1153742,-1323781762242377021,1.396399223094326,30015
0.12894399,0.03504624798702613,0.153103026,0.819531377,0.890470449,2,1153891,-4154846804044960581,1.3993037445776808,30013
0.12894399,0.046190428755853004,0.153103026,0.819531377,0.890470449,3,1211757,-1823329602141965284,1.5263305224704362,15954
0.12894399,0.03536770385616689,0.153103026,0.819531377,0.890470449,2,1152974,-373196455410171240,1.4036233299248055,30011
0.12894399,0.03529513546309429,0.153103026,0.819531377,0.890470449,2,1153700,-3138771344851328768,1.40091947735229,30010
0.12894399,0.04668391700563268,0.153103026,0.819531377,0.890470449,3,1213779,3029626764997090972,1.5298569167943756,18139
0.12894399,0.04620386345617438,0.153103026,0.819531377,0.890470449,3,1211464,6629362070523931748,1.5294282299022346,18135
0.12894399,0.04667832320418867,0.153103026,0.819531377,0.890470449,3,1209680,-6928568780446104102,1.5310578535215387,18141
0.12894399,0.046281450186193354,0.153103026,0.819531377,0.890470449,3,1212929,3242565383879489260,1.5251306919840284,18137
0.12894399,0.04644813016137106,0.153103026,0.819531377,0.890470449,3,1212967,2226857320655550776,1.5247300723933697,18143
0.12894399,0.04643640818819007,0.153103026,0.819531377,0.890470449,3,1213370,-694129197100289340,1.5233870834457037,18159
